time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
3.333333333333333287e-02,1.000000000000000000e+00,2.089675818959256137e+00,2.094399341873526055e+00,-2.834110421557286541e-01,5.063906618504901121e-04,2.089664522147465231e+00,2.094402268852287197e+00,-2.834774739519171360e-01,4.945128529723434845e-04,2.089675818960150533e+00,2.094399341872723586e+00,-2.834110420549065257e-01,5.063905199301046208e-04,1.129681179090624710e-05,8.943956686380261090e-13,9.063045098980869525e-15,4.300881181113125490e-06,2.811960792710464312e-13
3.666666666666666685e-02,1.000000000000000000e+00,2.088683694790360867e+00,2.094401297380614757e+00,-3.118686941165834670e-01,6.720310036568758177e-04,2.088670851930052752e+00,2.094404735243141413e+00,-3.119442756624345447e-01,6.573348558268281121e-04,2.088683694791741541e+00,2.094401297379162585e+00,-3.118686940047102896e-01,6.720308460201775266e-04,1.284286030811543355e-05,1.452171716209704755e-12,1.788440899532224734e-14,4.689195985460940165e-06,3.396829303098029568e-13
4.000000000000000083e-02,1.000000000000000000e+00,2.087596657877576423e+00,2.094403857632678445e+00,-3.403591526560159064e-01,8.696646958801344677e-04,2.087583085980660780e+00,2.094407662580643592e+00,-3.404387628446106651e-01,8.530863430684335492e-04,2.087596657879374540e+00,2.094403857630699584e+00,-3.403591525332481660e-01,8.696645227523152038e-04,1.357189691564286704e-05,1.978861519091879018e-12,3.540629618668526029e-14,4.735345493802732241e-06,4.042722317152066275e-13
4.333333333333333481e-02,1.000000000000000000e+00,2.086414594256170485e+00,2.094407133488394912e+00,-3.688851740371928978e-01,1.101803716643064276e-03,2.086401140113526953e+00,2.094411145583164657e+00,-3.689637988544932634e-01,1.084383232465186385e-03,2.086414594258026334e+00,2.094407133486489325e+00,-3.688851739040572841e-01,1.101803528769756653e-03,1.345414264353195222e-05,1.905586799466618686e-12,1.552801726958722373e-14,4.456878962155136807e-06,4.750244037879172515e-13
4.666666666666666879e-02,1.000000000000000000e+00,2.085137380872126744e+00,2.094411244007414741e+00,-3.974494542276593156e-01,1.370854378331183131e-03,2.085124870802403052e+00,2.094415296336133103e+00,-3.975224773390296784e-01,1.353672418414438939e-03,2.085137380874095392e+00,2.094411244005507822e+00,-3.974494540839688672e-01,1.370854175407597427e-03,1.251006972369239634e-05,1.968647467265327577e-12,1.812609019796173737e-16,3.888571362052419067e-06,5.522415480312342739e-13
5.000000000000000278e-02,1.000000000000000000e+00,2.083764885793363053e+00,2.094416316080366158e+00,-4.260546233438288755e-01,1.679107611346017642e-03,2.083754080424641053e+00,2.094420243256993164e+00,-4.261180570287411706e-01,1.663224840440618831e-03,2.083764885795616362e+00,2.094416316078193230e+00,-4.260546231892141100e-01,1.679107392808757305e-03,1.080536872199999721e-05,2.253308650779217714e-12,3.625218039592347475e-16,3.078451153192175670e-06,6.361653456477971295e-13
5.333333333333333676e-02,1.000000000000000000e+00,2.082296968438628770e+00,2.094422484027821607e+00,-4.547032399775429168e-01,2.028729044657253539e-03,2.082288523168195571e+00,2.094426129855011087e+00,-4.547538984012724494e-01,2.015129526032893078e-03,2.082296968441183171e+00,2.094422484025367570e+00,-4.547032398118929231e-01,2.028728810313592743e-03,8.445270433199425497e-06,2.554401135057560168e-12,7.250436079184694949e-16,2.084171798349247637e-06,7.272187387422249305e-13
5.666666666666667074e-02,1.000000000000000000e+00,2.080733479825185306e+00,2.094429889166381287e+00,-4.833977853969241290e-01,2.421748869891836992e-03,2.080727911572445077e+00,2.094433113322429207e+00,-4.834334026976786491e-01,2.411288581422896087e-03,2.080733479827993282e+00,2.094429889163736735e+00,-4.833977852206289283e-01,2.421748620318000568e-03,5.568252740228984976e-06,2.807976073881945922e-12,4.350261647510816772e-15,9.696927122797737522e-07,8.254621476151775356e-13
6.000000000000000472e-02,1.000000000000000000e+00,2.079074262836365872e+00,2.094438679340064446e+00,-5.121406576171112501e-01,2.860051481152934942e-03,2.079071923668152522e+00,2.094441362989762911e+00,-5.121599537184805540e-01,2.853413103641104336e-03,2.079074262839439413e+00,2.094438679337225384e+00,-5.121406574300055858e-01,2.860051216065122998e-03,2.683649698465018218e-06,3.073541421372283367e-12,7.431696981164313136e-15,1.977661964048525213e-07,9.311976737699543393e-13
6.333333333333333870e-02,1.000000000000000000e+00,2.077319152509213840e+00,2.094449008416638058e+00,-5.409341653331480870e-01,3.345364877387099149e-03,2.077320210675610124e+00,2.094451058674216881e+00,-5.409368627726592882e-01,3.343019988717054435e-03,2.077319152512695055e+00,2.094449008413387325e+00,-5.409341651342380874e-01,3.345364595249641221e-03,2.050257578822822779e-06,3.481215316014640848e-12,3.141855634313368107e-15,1.350532276487927196e-06,1.044606578108535019e-12
