time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
3.333333333333333287e-02,1.000000000000000000e+00,1.041805232726362274e+00,2.708381827160669976e-03,-3.237634925257855123e-01,1.633483648904219820e-01,1.041809311152555928e+00,2.700550894951560255e-03,-3.237796195366127172e-01,1.633563954146309283e-01,1.041805232727096131e+00,2.708381825792529132e-03,-3.237634925077619297e-01,1.633483648314671688e-01,7.830932209109721376e-06,1.368140843671650231e-12,6.422677960144442746e-13,2.668280891294805335e-06,7.220225928854758683e-13
3.666666666666666685e-02,1.000000000000000000e+00,1.040671894310813306e+00,3.280723067803637417e-03,-3.562443746399603373e-01,1.800741799243529284e-01,1.040675858147356969e+00,3.272241172624068203e-03,-3.562606122261688379e-01,1.800815065617289989e-01,1.040671894311553380e+00,3.280723065783424427e-03,-3.562443746123603594e-01,1.800741798479151279e-01,8.481895179569213378e-06,2.020212989950476157e-12,1.029682763845546480e-12,2.636656869193885654e-06,8.781486497905863613e-13
4.000000000000000083e-02,1.000000000000000000e+00,1.039430236468109614e+00,3.909000732362205750e-03,-3.887556437431214373e-01,1.969119305163104239e-01,1.039433785760896400e+00,3.900459451229377865e-03,-3.887708537742063375e-01,1.969180157087207228e-01,1.039430236469023550e+00,3.909000729857923379e-03,-3.887556437101116757e-01,1.969119304284659977e-01,8.541281132827885370e-06,2.504282371751376246e-12,1.276801793544424815e-12,2.405901698878181878e-06,1.050346506671222810e-12
4.333333333333333481e-02,1.000000000000000000e+00,1.038080152925768607e+00,4.593605064916568385e-03,-4.213002991054186075e-01,2.138718964249739785e-01,1.038083020518737243e+00,4.585579071424452507e-03,-4.213135094991685148e-01,2.138763385538633988e-01,1.038080152927217226e+00,4.593605062237970590e-03,-4.213002990731464226e-01,2.138718963346589175e-01,8.025993492115877925e-06,2.678597794958381684e-12,1.199101286895828922e-12,1.992390419903302881e-06,1.238495322926065698e-12
4.666666666666666879e-02,1.000000000000000000e+00,1.036621527312080016e+00,5.334960620425120703e-03,-4.538814019069905004e-01,2.309643847255451743e-01,1.036623494637168852e+00,5.327974660961742881e-03,-4.538918491118176246e-01,2.309669290035248068e-01,1.036621527314537161e+00,5.334960617884798584e-03,-4.538814018802067585e-01,2.309643846395790234e-01,6.985959463377822143e-06,2.540322119326532402e-12,7.348316966253688467e-13,1.424035760241009841e-06,1.442957620359074078e-12
5.000000000000000278e-02,1.000000000000000000e+00,1.035054232941184926e+00,6.133526359701288976e-03,-4.865020804333814453e-01,2.481997321581523863e-01,1.035055141733963069e+00,6.128028149357847912e-03,-4.865092332161388144e-01,2.482002705353322236e-01,1.035054232945062047e+00,6.133526357451896463e-03,-4.865020804129626675e-01,2.481997320775906068e-01,5.498210343441063686e-06,3.877120846595971670e-12,3.746058640912092242e-15,7.378167057511120615e-07,1.663975080172887585e-12
5.333333333333333676e-02,1.000000000000000000e+00,1.033378132580790920e+00,6.989795752162577050e-03,-5.191655352688659963e-01,2.655883074776981267e-01,1.033377892525225716e+00,6.986134778654057645e-03,-5.191691026931506414e-01,2.655868699464911664e-01,1.033378132586209697e+00,6.989795750078400469e-03,-5.191655352519690680e-01,2.655883073980647158e-01,3.660973508519405062e-06,5.418776538590464042e-12,7.182765342445638195e-13,2.281773729901435165e-08,1.901426861766186302e-12
5.666666666666667074e-02,1.000000000000000000e+00,1.031593078202486025e+00,7.904296886355435120e-03,-5.518750444849158665e-01,2.831405138014420064e-01,1.031591670590631171e+00,7.902709067169702908e-03,-5.518749707524880366e-01,2.831372532291448474e-01,1.031593078209086523e+00,7.904296884027547238e-03,-5.518750444683204748e-01,2.831405137176633557e-01,1.587819185732211591e-06,6.600497926001480664e-12,1.126234404300022738e-12,8.105904894849652545e-07,2.155675486942929582e-12
6.000000000000000472e-02,1.000000000000000000e+00,1.029698910714608173e+00,8.877592588259626896e-03,-5.846339688210491214e-01,3.008667909506140825e-01,1.029696388284875974e+00,8.878190686879018287e-03,-5.846304174254340902e-01,3.008619633157340045e-01,1.029698910721544847e+00,8.877592585154218605e-03,-5.846339688060143702e-01,3.008667908642078670e-01,2.522429732199071850e-06,6.936673457857978065e-12,1.075481351745729695e-12,1.577011238270478798e-06,2.426600115101797909e-12
6.333333333333333870e-02,1.000000000000000000e+00,1.027695459677631762e+00,9.910280547375745902e-03,-6.174457568552974562e-01,3.187776177823519741e-01,1.027691942867520636e+00,9.913050218595108667e-03,-6.174390862668797109e-01,3.187715594421505760e-01,1.027695459683989787e+00,9.910280543159516106e-03,-6.174457568488416204e-01,3.187776177034145064e-01,3.516810111126034144e-06,6.358025217423346476e-12,7.411154078939955679e-13,2.274898359243148535e-06,2.714442427445430314e-12
